date,marketCap,shortTermDebt,longTermDebt,treasury_yield,bnd_price,mkt_price
2013-05-31,413135584848,0,0,0.0014000000000000002,368.08,135.33377075195312
2013-06-03,414038402618,0,0,0.0014000000000000002,368.35,136.07899475097656
2013-06-04,412744621027,0,0,0.0014000000000000002,367.69,135.42489624023438
2013-06-05,408886425427,0,0,0.0014000000000000002,367.42,133.52879333496094
2013-06-06,402777615727,0,0,0.0014000000000000002,367.75,134.7376251220703
2013-06-07,405856455816,0,0,0.0014000000000000002,366.18,136.4515838623047
2013-06-10,403171151678,0,0,0.0014000000000000002,365.29,136.4515838623047
2013-06-11,401987971694,0,0,0.0014000000000000002,365.22,135.0439910888672
2013-06-12,397018615761,0,0,0.0014000000000000002,364.33,133.92626953125
2013-06-13,400485847540,0,0,0.0014000000000000002,365.17,135.96307373046875
2013-06-14,395050936005,0,0,0.0013,366.41,135.11026000976562
2013-06-17,396843710894,0,0,0.0013,365.65,136.15345764160156
2013-06-18,396632796201,0,0,0.0013,365.48,137.2299041748047
2013-06-19,388574311658,0,0,0.0013,362.93,135.33377075195312
2013-06-20,382915624778,0,0,0.0014000000000000002,359.42,131.98046875
2013-06-21,379849645341,0,0,0.0013,357.93,132.40414428710938
2013-06-24,369779754825,0,0,0.0016,356.42,130.73109436035156
2013-06-25,369862062998,0,0,0.0017000000000000001,355.4,131.98797607421875
2013-06-26,365674634707,0,0,0.0016,356.61,133.2947998046875
2013-06-27,361734130934,0,0,0.0015,357.87,134.07720947265625
2013-06-28,364259962987,0,0,0.0015,358.8,133.52781677246094
2013-07-01,378663951820,0,0,0.0015,359.17,134.3102264404297
2013-07-02,387242510454,0,0,0.0014000000000000002,359.84,134.18544006347656
2013-07-03,389380025064,0,0,0.0014000000000000002,359.34,134.24365234375
2013-07-05,386252776417,0,0,0.0015,355.57,135.69200134277344
2013-07-08,384058261417,0,0,0.0014000000000000002,357.22,136.46612548828125
2013-07-09,390812807585,0,0,0.0014000000000000002,357.89,137.44827270507812
2013-07-10,389315251894,0,0,0.0013,357.37,137.4982147216797
2013-07-11,395383202460,0,0,0.0013,359.69,139.3710174560547
2013-07-12,394662924810,0,0,0.0012,359.35,139.4293212890625
2013-07-15,395523112507,0,0,0.0011,360.45,139.96200561523438
2013-07-16,398072584478,0,0,0.001,361.21,139.4376678466797
2013-07-17,398178812477,0,0,0.0011,362.09,139.7955322265625
2013-07-18,399518321633,0,0,0.0011,361.6,140.56130981445312
2013-07-19,393219778582,0,0,0.0011,362.82,140.81103515625
2013-07-22,394478969007,0,0,0.001,363.42,141.085693359375
2013-07-23,387703695425,0,0,0.0012,363.05,140.78602600097656
2013-07-24,407617558810,0,0,0.0012,361.72,140.27003479003906
2013-07-25,405757273367,0,16958000000,0.0012,361.3,140.61123657226562
2013-07-26,408060607292,0,16958000000,0.0011,362.31,140.76109313964844
2013-07-29,414353968490,0,16958000000,0.0011,361.82,140.32826232910156
2013-07-30,419471048920,0,16958000000,0.0011,361.56,140.32826232910156
2013-07-31,418740407562,0,16958000000,0.0011,361.79,140.42816162109375
2013-08-01,422577570153,0,16958000000,0.0013,359.46,142.05120849609375
2013-08-02,428002970872,0,16958000000,0.0011,361.54,142.2926483154297
2013-08-05,434397378214,0,16958000000,0.0012,360.83,142.0845489501953
2013-08-06,430510988014,0,16958000000,0.0012,360.81,141.2771453857422
2013-08-07,430259668115,0,16958000000,0.0012,361.46,140.8193359375
2013-08-08,426585733912,0,16958000000,0.0012,361.82,141.33543395996094
2013-08-09,420517783347,0,16958000000,0.0011,361.86,140.9275665283203
2013-08-12,432461955895,0,16958000000,0.0012,361.3,140.76109313964844
2013-08-13,453013187272,0,16958000000,0.0012,359.27,141.17727661132812
2013-08-14,461278243764,0,16958000000,0.0012,359.25,140.45309448242188
2013-08-15,460731558210,0,16958000000,0.0013,358.11,138.4887237548828
2013-08-16,464822631627,0,16958000000,0.0013,356.89,138.03094482421875
2013-08-19,469828302204,0,16958000000,0.0013,355.82,137.14862060546875
2013-08-20,463656714567,0,16958000000,0.0013,356.83,137.82286071777344
2013-08-21,464848540895,0,16958000000,0.0014000000000000002,355.98,136.9738311767578
2013-08-22,465405590157,0,16958000000,0.0014000000000000002,355.45,138.22235107421875
2013-08-23,463610077884,0,16958000000,0.0014000000000000002,357.1,138.6885528564453
2013-08-26,465413362937,0,16958000000,0.0013,357.69,138.1724395751953
2013-08-27,452106362892,0,16958000000,0.0012,359.29,135.9499969482422
2013-08-28,454241286576,0,16958000000,0.0014000000000000002,358.2,136.43280029296875
2013-08-29,454984882567,0,16958000000,0.0014000000000000002,359.08,136.64926147460938
2013-08-30,450836808760,0,16958000000,0.0013,359.5,136.21633911132812
2013-09-03,452098590112,0,16958000000,0.0014000000000000002,357.83,136.83233642578125
2013-09-04,461454426787,0,16958000000,0.0014000000000000002,356.99,137.9643096923828
2013-09-05,458288314237,0,16958000000,0.0016,355.13,138.13909912109375
2013-09-06,461019151084,0,16958000000,0.0014000000000000002,355.48,138.2057342529297
2013-09-09,468374792270,0,16958000000,0.0012,356.38,139.52920532226562
2013-09-10,457705355707,0,16958000000,0.0013,355.31,140.56130981445312
2013-09-11,432785821745,0,16958000000,0.0012,356.06,141.0024871826172
2013-09-12,437395080522,0,16958000000,0.0013,356.25,140.6278839111328
2013-09-13,430187122164,0,16958000000,0.0013,356.32,140.94422912597656
2013-09-16,416509619587,0,16958000000,0.0013,356.72,141.75990295410156
2013-09-17,421320970655,0,16958000000,0.0012,357.3,142.39251708984375
2013-09-18,429982438947,0,16958000000,0.0011,359.82,144.0405731201172
2013-09-19,437034941697,0,16958000000,0.001,359.47,143.79917907714844
2013-09-20,432508592577,0,16958000000,0.0011,360.08,142.79383850097656
2013-09-23,454005512237,0,16958000000,0.001,360.45,142.133056640625
2013-09-24,452580502497,0,16958000000,0.001,361.78,141.7985076904297
2013-09-25,445574636430,0,16958000000,0.001,362.43,141.38868713378906
2013-09-26,449914438819,0,16958000000,0.0009,361.73,141.9322967529297
2013-09-27,446704280514,0,16958000000,0.001,361.91,141.27992248535156
2013-09-30,427202684428,0,16958000000,0.001,361.68,140.52716064453125
2013-10-01,437246217833,0,16958000000,0.001,361.24,141.63955688476562
2013-10-02,438681366748,0,16958000000,0.0011,361.83,141.50572204589844
2013-10-03,433169090233,0,16958000000,0.0011,362.25,140.20091247558594
2013-10-04,432830375017,0,16958000000,0.0011,361.78,141.26319885253906
2013-10-07,437058042713,0,16958000000,0.0012,362.24,140.04197692871094
2013-10-08,430956150822,0,16958000000,0.0015,362.25,138.41098022460938
2013-10-09,436016807049,0,16958000000,0.0015,361.93,138.51138305664062
2013-10-10,438751618793,0,16958000000,0.0014000000000000002,361.83,141.49737548828125
2013-10-11,441594317606,0,16958000000,0.0014000000000000002,362.22,142.40908813476562
2013-10-15,446853184959,0,16958000000,0.0016,361.93,141.94070434570312
2013-10-16,449033507350,0,16958000000,0.0015,363.23,143.92303466796875
2013-10-17,452069399286,0,16958000000,0.0013,365.0,144.88491821289062
2013-10-18,456001004793,0,16958000000,0.0012,365.28,145.86349487304688
2013-10-21,467178606921,0,16958000000,0.0011,365.08,145.8718719482422
2013-10-22,465838800067,0,16958000000,0.001,366.86,146.71664428710938
2013-10-23,470402673977,0,16958000000,0.0011,367.29,146.0141143798828
2013-10-24,476630015948,0,16958000000,0.0012,366.59,146.49923706054688
2013-10-25,471295878547,0,16958000000,0.0011,367.01,147.16835021972656
2013-10-28,474805971785,0,16958000000,0.0011,366.97,147.4025421142578
2013-10-29,462981047244,0,16958000000,0.0011,367.1,148.188720703125
2013-10-30,470344966940,0,16960000000,0.0011,366.94,147.45269775390625
2013-10-31,468377909686,0,16960000000,0.001,366.86,147.03453063964844
2013-11-01,465984322160,0,16960000000,0.001,365.57,147.3858184814453
2013-11-04,472005926000,0,16960000000,0.0009,365.92,147.9043731689453
2013-11-05,470839240255,0,16960000000,0.001,364.73,147.43601989746094
2013-11-06,466782184668,0,16960000000,0.0011,364.9,148.188720703125
2013-11-07,459230089852,0,16960000000,0.0011,365.63,146.31517028808594
2013-11-08,466458523462,0,16960000000,0.0012,363.14,148.2891082763672
2013-11-12,465966759148,0,16960000000,0.0013,362.82,148.01312255859375
2013-11-13,466526266505,0,16960000000,0.0013,363.49,149.20083618164062
2013-11-14,473270462806,0,16960000000,0.0013,364.48,149.94529724121094
2013-11-15,470430272995,0,16960000000,0.0013,364.54,150.59759521484375
2013-11-18,464729821360,0,16960000000,0.0013,365.62,150.07069396972656
2013-11-19,465555282886,0,16960000000,0.0014000000000000002,364.97,149.74447631835938
2013-11-20,461478155286,0,16960000000,0.0012,363.62,149.27610778808594
2013-11-21,466975377791,0,16960000000,0.0012,364.15,150.4805450439453
2013-11-22,465778584028,0,16960000000,0.0012,364.94,151.2333526611328
2013-11-25,469308749279,0,16960000000,0.0014000000000000002,365.39,151.082763671875
2013-11-26,477964804800,0,16960000000,0.0013,366.46,151.1245880126953
2013-11-27,489220185977,0,16960000000,0.0013,365.9,151.49264526367188
2013-11-29,498277681753,0,16960000000,0.0013,365.73,151.39227294921875
2013-12-02,493942126988,0,16960000000,0.0013,365.11,150.9991455078125
