date,marketCap,balanceSheetDate,shortTermDebt,longTermDebt,treasury_yield,bonds_index,equities_index
2013-05-31,413135584848,2013-04-23 21:29:23,0,0,0.0014000000000000002,368.08,135.33380126953125
2013-06-03,414038402618,2013-04-23 21:29:23,0,0,0.0014000000000000002,368.35,136.0790252685547
2013-06-04,412744621027,2013-04-23 21:29:23,0,0,0.0014000000000000002,367.69,135.4248504638672
2013-06-05,408886425427,2013-04-23 21:29:23,0,0,0.0014000000000000002,367.42,133.52883911132812
2013-06-06,402777615727,2013-04-23 21:29:23,0,0,0.0014000000000000002,367.75,134.73765563964844
2013-06-07,405856455816,2013-04-23 21:29:23,0,0,0.0014000000000000002,366.18,136.4515838623047
2013-06-10,403171151678,2013-04-23 21:29:23,0,0,0.0014000000000000002,365.29,136.4515838623047
2013-06-11,401987971694,2013-04-23 21:29:23,0,0,0.0014000000000000002,365.22,135.04403686523438
2013-06-12,397018615761,2013-04-23 21:29:23,0,0,0.0014000000000000002,364.33,133.92623901367188
2013-06-13,400485847540,2013-04-23 21:29:23,0,0,0.0014000000000000002,365.17,135.9630889892578
2013-06-14,395050936005,2013-04-23 21:29:23,0,0,0.0013,366.41,135.11026000976562
2013-06-17,396843710894,2013-04-23 21:29:23,0,0,0.0013,365.65,136.1534881591797
2013-06-18,396632796201,2013-04-23 21:29:23,0,0,0.0013,365.48,137.22987365722656
2013-06-19,388574311658,2013-04-23 21:29:23,0,0,0.0013,362.93,135.33380126953125
2013-06-20,382915624778,2013-04-23 21:29:23,0,0,0.0014000000000000002,359.42,131.98045349121094
2013-06-21,379849645341,2013-04-23 21:29:23,0,0,0.0013,357.93,132.40415954589844
2013-06-24,369779754825,2013-04-23 21:29:23,0,0,0.0016,356.42,130.73109436035156
2013-06-25,369862062998,2013-04-23 21:29:23,0,0,0.0017000000000000001,355.4,131.9879608154297
2013-06-26,365674634707,2013-04-23 21:29:23,0,0,0.0016,356.61,133.2947998046875
2013-06-27,361734130934,2013-04-23 21:29:23,0,0,0.0015,357.87,134.07717895507812
2013-06-28,364259962987,2013-04-23 21:29:23,0,0,0.0015,358.8,133.5278778076172
2013-07-01,378663951820,2013-04-23 21:29:23,0,0,0.0015,359.17,134.31024169921875
2013-07-02,387242510454,2013-04-23 21:29:23,0,0,0.0014000000000000002,359.84,134.18540954589844
2013-07-03,389380025064,2013-04-23 21:29:23,0,0,0.0014000000000000002,359.34,134.24368286132812
2013-07-05,386252776417,2013-04-23 21:29:23,0,0,0.0015,355.57,135.69198608398438
2013-07-08,384058261417,2013-04-23 21:29:23,0,0,0.0014000000000000002,357.22,136.46607971191406
2013-07-09,390812807585,2013-04-23 21:29:23,0,0,0.0014000000000000002,357.89,137.4482879638672
2013-07-10,389315251894,2013-04-23 21:29:23,0,0,0.0013,357.37,137.4982147216797
2013-07-11,395383202460,2013-04-23 21:29:23,0,0,0.0013,359.69,139.3710174560547
2013-07-12,394662924810,2013-04-23 21:29:23,0,0,0.0012,359.35,139.42933654785156
2013-07-15,395523112507,2013-04-23 21:29:23,0,0,0.0011,360.45,139.96205139160156
2013-07-16,398072584478,2013-04-23 21:29:23,0,0,0.001,361.21,139.43759155273438
2013-07-17,398178812477,2013-04-23 21:29:23,0,0,0.0011,362.09,139.79554748535156
2013-07-18,399518321633,2013-04-23 21:29:23,0,0,0.0011,361.6,140.56130981445312
2013-07-19,393219778582,2013-04-23 21:29:23,0,0,0.0011,362.82,140.81105041503906
2013-07-22,394478969007,2013-04-23 21:29:23,0,0,0.001,363.42,141.08575439453125
2013-07-23,387703695425,2013-04-23 21:29:23,0,0,0.0012,363.05,140.7860107421875
2013-07-24,407617558810,2013-04-23 21:29:23,0,0,0.0012,361.72,140.2699737548828
2013-07-25,405757273367,2013-07-24 17:02:02,0,16958000000,0.0012,361.3,140.61123657226562
2013-07-26,408060607292,2013-07-24 17:02:02,0,16958000000,0.0011,362.31,140.76113891601562
2013-07-29,414353968490,2013-07-24 17:02:02,0,16958000000,0.0011,361.82,140.32823181152344
2013-07-30,419471048920,2013-07-24 17:02:02,0,16958000000,0.0011,361.56,140.32823181152344
2013-07-31,418740407562,2013-07-24 17:02:02,0,16958000000,0.0011,361.79,140.42816162109375
2013-08-01,422577570153,2013-07-24 17:02:02,0,16958000000,0.0013,359.46,142.05126953125
2013-08-02,428002970872,2013-07-24 17:02:02,0,16958000000,0.0011,361.54,142.2926025390625
2013-08-05,434397378214,2013-07-24 17:02:02,0,16958000000,0.0012,360.83,142.0845489501953
2013-08-06,430510988014,2013-07-24 17:02:02,0,16958000000,0.0012,360.81,141.27713012695312
2013-08-07,430259668115,2013-07-24 17:02:02,0,16958000000,0.0012,361.46,140.81936645507812
2013-08-08,426585733912,2013-07-24 17:02:02,0,16958000000,0.0012,361.82,141.33546447753906
2013-08-09,420517783347,2013-07-24 17:02:02,0,16958000000,0.0011,361.86,140.92755126953125
2013-08-12,432461955895,2013-07-24 17:02:02,0,16958000000,0.0012,361.3,140.76113891601562
2013-08-13,453013187272,2013-07-24 17:02:02,0,16958000000,0.0012,359.27,141.1772918701172
2013-08-14,461278243764,2013-07-24 17:02:02,0,16958000000,0.0012,359.25,140.453125
2013-08-15,460731558210,2013-07-24 17:02:02,0,16958000000,0.0013,358.11,138.48878479003906
2013-08-16,464822631627,2013-07-24 17:02:02,0,16958000000,0.0013,356.89,138.0309295654297
2013-08-19,469828302204,2013-07-24 17:02:02,0,16958000000,0.0013,355.82,137.14862060546875
2013-08-20,463656714567,2013-07-24 17:02:02,0,16958000000,0.0013,356.83,137.82284545898438
2013-08-21,464848540895,2013-07-24 17:02:02,0,16958000000,0.0014000000000000002,355.98,136.9738311767578
2013-08-22,465405590157,2013-07-24 17:02:02,0,16958000000,0.0014000000000000002,355.45,138.22239685058594
2013-08-23,463610077884,2013-07-24 17:02:02,0,16958000000,0.0014000000000000002,357.1,138.68850708007812
2013-08-26,465413362937,2013-07-24 17:02:02,0,16958000000,0.0013,357.69,138.17247009277344
2013-08-27,452106362892,2013-07-24 17:02:02,0,16958000000,0.0012,359.29,135.9500274658203
2013-08-28,454241286576,2013-07-24 17:02:02,0,16958000000,0.0014000000000000002,358.2,136.43280029296875
2013-08-29,454984882567,2013-07-24 17:02:02,0,16958000000,0.0014000000000000002,359.08,136.64920043945312
2013-08-30,450836808760,2013-07-24 17:02:02,0,16958000000,0.0013,359.5,136.21641540527344
2013-09-03,452098590112,2013-07-24 17:02:02,0,16958000000,0.0014000000000000002,357.83,136.8323211669922
2013-09-04,461454426787,2013-07-24 17:02:02,0,16958000000,0.0014000000000000002,356.99,137.96432495117188
2013-09-05,458288314237,2013-07-24 17:02:02,0,16958000000,0.0016,355.13,138.13916015625
2013-09-06,461019151084,2013-07-24 17:02:02,0,16958000000,0.0014000000000000002,355.48,138.20574951171875
2013-09-09,468374792270,2013-07-24 17:02:02,0,16958000000,0.0012,356.38,139.5292205810547
2013-09-10,457705355707,2013-07-24 17:02:02,0,16958000000,0.0013,355.31,140.56130981445312
2013-09-11,432785821745,2013-07-24 17:02:02,0,16958000000,0.0012,356.06,141.00250244140625
2013-09-12,437395080522,2013-07-24 17:02:02,0,16958000000,0.0013,356.25,140.62791442871094
2013-09-13,430187122164,2013-07-24 17:02:02,0,16958000000,0.0013,356.32,140.94418334960938
2013-09-16,416509619587,2013-07-24 17:02:02,0,16958000000,0.0013,356.72,141.75991821289062
2013-09-17,421320970655,2013-07-24 17:02:02,0,16958000000,0.0012,357.3,142.39256286621094
2013-09-18,429982438947,2013-07-24 17:02:02,0,16958000000,0.0011,359.82,144.04061889648438
2013-09-19,437034941697,2013-07-24 17:02:02,0,16958000000,0.001,359.47,143.79925537109375
2013-09-20,432508592577,2013-07-24 17:02:02,0,16958000000,0.0011,360.08,142.79380798339844
2013-09-23,454005512237,2013-07-24 17:02:02,0,16958000000,0.001,360.45,142.13308715820312
2013-09-24,452580502497,2013-07-24 17:02:02,0,16958000000,0.001,361.78,141.7985076904297
2013-09-25,445574636430,2013-07-24 17:02:02,0,16958000000,0.001,362.43,141.388671875
2013-09-26,449914438819,2013-07-24 17:02:02,0,16958000000,0.0009,361.73,141.9323272705078
2013-09-27,446704280514,2013-07-24 17:02:02,0,16958000000,0.001,361.91,141.27992248535156
2013-09-30,427202684428,2013-07-24 17:02:02,0,16958000000,0.001,361.68,140.5271453857422
2013-10-01,437246217833,2013-07-24 17:02:02,0,16958000000,0.001,361.24,141.6395721435547
2013-10-02,438681366748,2013-07-24 17:02:02,0,16958000000,0.0011,361.83,141.50570678710938
2013-10-03,433169090233,2013-07-24 17:02:02,0,16958000000,0.0011,362.25,140.2009735107422
2013-10-04,432830375017,2013-07-24 17:02:02,0,16958000000,0.0011,361.78,141.26319885253906
2013-10-07,437058042713,2013-07-24 17:02:02,0,16958000000,0.0012,362.24,140.04202270507812
2013-10-08,430956150822,2013-07-24 17:02:02,0,16958000000,0.0015,362.25,138.41098022460938
2013-10-09,436016807049,2013-07-24 17:02:02,0,16958000000,0.0015,361.93,138.51138305664062
