date,marketCap,balanceSheetDate,shortTermDebt,longTermDebt,treasury_yield,bonds_index,equities_index
2013-05-31,53005043304,2013-03-28 09:09:54,13000,16000,0.0014000000000000002,368.08,135.33380126953125
2013-06-03,52998585998,2013-03-28 09:09:54,13000,16000,0.0014000000000000002,368.35,136.0789794921875
2013-06-04,52449880843,2013-03-28 09:09:54,13000,16000,0.0014000000000000002,367.69,135.4248809814453
2013-06-05,51371835353,2013-03-28 09:09:54,13000,16000,0.0014000000000000002,367.42,133.52879333496094
2013-06-06,51352469888,2013-03-28 09:09:54,13000,16000,0.0014000000000000002,367.75,134.7376251220703
2013-06-07,52223944186,2013-03-28 09:09:54,13000,16000,0.0014000000000000002,366.18,136.4515838623047
2013-06-10,52643543878,2013-03-28 09:09:54,13000,16000,0.0014000000000000002,365.29,136.4515838623047
2013-06-11,51907632350,2013-03-28 09:09:54,13000,16000,0.0014000000000000002,365.22,135.04403686523438
2013-06-12,51455753225,2013-03-28 09:09:54,13000,16000,0.0014000000000000002,364.33,133.92625427246094
2013-06-13,52340140845,2013-03-28 09:09:54,13000,16000,0.0014000000000000002,365.17,135.96310424804688
2013-06-14,51998006883,2013-03-28 09:09:54,13000,16000,0.0013,366.41,135.1102752685547
2013-06-17,53224523301,2013-03-28 09:09:54,13000,16000,0.0013,365.65,136.1535186767578
2013-06-18,53534382995,2013-03-28 09:09:54,13000,16000,0.0013,365.48,137.2299041748047
2013-06-19,52824293591,2013-03-28 09:09:54,13000,16000,0.0013,362.93,135.33380126953125
2013-06-20,51333099905,2013-03-28 09:09:54,13000,16000,0.0014000000000000002,359.42,131.98045349121094
2013-06-21,51255638694,2013-03-28 09:09:54,13000,16000,0.0013,357.93,132.40414428710938
2013-06-24,51100711106,2013-03-28 09:09:54,13000,16000,0.0016,356.42,130.73110961914062
2013-06-25,51423479603,2013-03-28 09:09:54,13000,16000,0.0017000000000000001,355.4,131.98794555664062
2013-06-26,51358922031,2013-03-28 09:09:54,13000,16000,0.0016,356.61,133.29473876953125
2013-06-27,51784978384,2013-03-28 09:09:54,13000,16000,0.0015,357.87,134.07716369628906
2013-06-28,46452841514,2013-03-28 09:09:54,13000,16000,0.0015,358.8,133.52784729003906
2013-07-01,46543216048,2013-06-28 06:51:07,0,0,0.0015,359.17,134.3102569580078
2013-07-02,46556130016,2013-06-28 06:51:07,0,0,0.0014000000000000002,359.84,134.18544006347656
2013-07-03,46917628796,2013-06-28 06:51:07,0,0,0.0014000000000000002,359.34,134.2436981201172
2013-07-05,47537343666,2013-06-28 06:51:07,0,0,0.0015,355.57,135.69200134277344
2013-07-08,48073140663,2013-06-28 06:51:07,0,0,0.0014000000000000002,357.22,136.46607971191406
2013-07-09,47834290038,2013-06-28 06:51:07,0,0,0.0014000000000000002,357.89,137.4483184814453
2013-07-10,47995674287,2013-06-28 06:51:07,0,0,0.0013,357.37,137.49822998046875
2013-07-11,48544380087,2013-06-28 06:51:07,0,0,0.0013,359.69,139.37103271484375
2013-07-12,48750951925,2013-06-28 06:51:07,0,0,0.0012,359.35,139.4292755126953
2013-07-15,49222195868,2013-06-28 06:51:07,0,0,0.0011,360.45,139.96200561523438
2013-07-16,48602480999,2013-06-28 06:51:07,0,0,0.001,361.21,139.43763732910156
2013-07-17,48518563126,2013-06-28 06:51:07,0,0,0.0011,362.09,139.79554748535156
2013-07-18,48699312193,2013-06-28 06:51:07,0,0,0.0011,361.6,140.56129455566406
2013-07-19,48557293409,2013-06-28 06:51:07,0,0,0.0011,362.82,140.81103515625
2013-07-22,48415274625,2013-06-28 06:51:07,0,0,0.001,363.42,141.08566284179688
2013-07-23,47931121878,2013-06-28 06:51:07,0,0,0.0012,363.05,140.7860565185547
2013-07-24,47588987916,2013-06-28 06:51:07,0,0,0.0012,361.72,140.2699737548828
2013-07-25,47214575168,2013-06-28 06:51:07,0,0,0.0012,361.3,140.6112518310547
2013-07-26,47201667011,2013-06-28 06:51:07,0,0,0.0011,362.31,140.76104736328125
2013-07-29,46717514264,2013-06-28 06:51:07,0,0,0.0011,361.82,140.3282928466797
2013-07-30,47601896720,2013-06-28 06:51:07,0,0,0.0011,361.56,140.3282928466797
2013-07-31,47647084309,2013-06-28 06:51:07,0,0,0.0011,361.79,140.42813110351562
2013-08-01,48318442784,2013-06-28 06:51:07,0,0,0.0013,359.46,142.05123901367188
2013-08-02,48150601874,2013-06-28 06:51:07,0,0,0.0011,361.54,142.29261779785156
2013-08-05,47918213075,2013-06-28 06:51:07,0,0,0.0012,360.83,142.08456420898438
2013-08-06,47285584883,2013-06-28 06:51:07,0,0,0.0012,360.81,141.2771759033203
2013-08-07,47124200635,2013-06-28 06:51:07,0,0,0.0012,361.46,140.81936645507812
2013-08-08,47111291831,2013-06-28 06:51:07,0,0,0.0012,361.82,141.3353729248047
2013-08-09,47466334596,2013-06-28 06:51:07,0,0,0.0011,361.86,140.92759704589844
2013-08-12,46988638511,2013-06-28 06:51:07,0,0,0.0012,361.3,140.76104736328125
2013-08-13,47046734258,2013-06-28 06:51:07,0,0,0.0012,359.27,141.17724609375
2013-08-14,46155895142,2013-06-28 06:51:07,0,0,0.0012,359.25,140.45310974121094
2013-08-15,46175260606,2013-06-28 06:51:07,0,0,0.0013,358.11,138.48873901367188
2013-08-16,46252726982,2013-06-28 06:51:07,0,0,0.0013,356.89,138.0309600830078
2013-08-19,46265635140,2013-06-28 06:51:07,0,0,0.0013,355.82,137.1486358642578
2013-08-20,46581952141,2013-06-28 06:51:07,0,0,0.0013,356.83,137.8228759765625
2013-08-21,47001547314,2013-06-28 06:51:07,0,0,0.0014000000000000002,355.98,136.973876953125
2013-08-22,47834290038,2013-06-28 06:51:07,0,0,0.0014000000000000002,355.45,138.22244262695312
2013-08-23,47776194291,2013-06-28 06:51:07,0,0,0.0014000000000000002,357.1,138.6884765625
2013-08-26,47595444577,2013-06-28 06:51:07,0,0,0.0013,357.69,138.17247009277344
2013-08-27,46633591227,2013-06-28 06:51:07,0,0,0.0012,359.29,135.9500274658203
2013-08-28,46769153351,2013-06-28 06:51:07,0,0,0.0014000000000000002,358.2,136.43275451660156
2013-08-29,46943450921,2013-06-28 06:51:07,0,0,0.0014000000000000002,359.08,136.6492156982422
2013-08-30,46640047888,2013-06-28 06:51:07,0,0,0.0013,359.5,136.2163848876953
2013-09-03,46529711701,2013-06-28 06:51:07,0,0,0.0014000000000000002,357.83,136.83233642578125
2013-09-04,46510611472,2013-06-28 06:51:07,0,0,0.0014000000000000002,356.99,137.96437072753906
2013-09-05,47115470330,2013-06-28 06:51:07,0,0,0.0016,355.13,138.13912963867188
2013-09-06,46612480212,2013-06-28 06:51:07,0,0,0.0014000000000000002,355.48,138.2056884765625
2013-09-09,46848059474,2013-06-28 06:51:07,0,0,0.0012,356.38,139.5291748046875
2013-09-10,47586623759,2013-06-28 06:51:07,0,0,0.0013,355.31,140.56129455566406
2013-09-11,47752165875,2013-06-28 06:51:07,0,0,0.0012,356.06,141.00245666503906
2013-09-12,47217344163,2013-06-28 06:51:07,0,0,0.0013,356.25,140.6278839111328
2013-09-13,47433818102,2013-06-28 06:51:07,0,0,0.0013,356.32,140.94419860839844
2013-09-16,48605335358,2013-06-28 06:51:07,0,0,0.0013,356.72,141.75994873046875
2013-09-17,48777246339,2013-06-28 06:51:07,0,0,0.0012,357.3,142.39251708984375
2013-09-18,49528547082,2013-06-28 06:51:07,0,0,0.0011,359.82,144.04054260253906
2013-09-19,49375741424,2013-06-28 06:51:07,0,0,0.001,359.47,143.7991943359375
2013-09-20,49229299539,2013-06-28 06:51:07,0,0,0.0011,360.08,142.7938690185547
2013-09-23,48618072452,2013-06-28 06:51:07,0,0,0.001,360.45,142.13307189941406
2013-09-24,47841302614,2013-06-28 06:51:07,0,0,0.001,361.78,141.79849243164062
2013-09-25,48465266795,2013-06-28 06:51:07,0,0,0.001,362.43,141.38865661621094
2013-09-26,48306092909,2013-06-28 06:51:07,0,0,0.0009,361.73,141.93235778808594
2013-09-27,47172770382,2013-06-28 06:51:07,0,0,0.001,361.91,141.27993774414062
2013-09-30,46886259297,2013-06-28 06:51:07,0,0,0.001,361.68,140.52713012695312
2013-10-01,47000865131,2013-06-28 06:51:07,0,0,0.001,361.24,141.63955688476562
2013-10-02,46803490786,2013-06-28 06:51:07,0,0,0.0011,361.83,141.50576782226562
2013-10-03,46567911524,2013-06-28 06:51:07,0,0,0.0011,362.25,140.20091247558594
2013-10-04,46644316900,2013-06-28 06:51:07,0,0,0.0011,361.78,141.26319885253906
2013-10-07,46064921407,2013-06-28 06:51:07,0,0,0.0012,362.24,140.04200744628906
2013-10-08,45262683747,2013-06-28 06:51:07,0,0,0.0015,362.25,138.4110107421875
2013-10-09,44746962265,2013-06-28 06:51:07,0,0,0.0015,361.93,138.51141357421875
2013-10-10,45370925810,2013-06-28 06:51:07,0,0,0.0014000000000000002,361.83,141.4973907470703
2013-10-11,46294132440,2013-06-28 06:51:07,0,0,0.0014000000000000002,362.22,142.4091033935547
2013-10-15,45587399748,2013-06-28 06:51:07,0,0,0.0016,361.93,141.94070434570312
2013-10-16,46115858324,2013-06-28 06:51:07,0,0,0.0015,363.23,143.92303466796875
2013-10-17,46383269179,2013-06-28 06:51:07,0,0,0.0013,365.0,144.88491821289062
2013-10-18,46402369409,2013-06-28 06:51:07,0,0,0.0012,365.28,145.86351013183594
2013-10-21,46816222787,2013-06-28 06:51:07,0,0,0.0011,365.08,145.87185668945312
2013-10-22,47083633642,2013-06-28 06:51:07,0,0,0.001,366.86,146.7166748046875
2013-10-23,46975396673,2013-06-28 06:51:07,0,0,0.0011,367.29,146.01406860351562
2013-10-24,46797122557,2013-06-28 06:51:07,0,0,0.0012,366.59,146.49917602539062
2013-10-25,46867159704,2013-06-28 06:51:07,0,0,0.0011,367.01,147.16831970214844
2013-10-28,47319212904,2013-06-28 06:51:07,0,0,0.0011,366.97,147.40252685546875
2013-10-29,47694865822,2013-06-28 06:51:07,0,0,0.0011,367.1,148.18873596191406
2013-10-30,47274644216,2013-10-29 16:51:03,0,25600000,0.0011,366.94,147.4526824951172
2013-10-31,46797122557,2013-10-29 16:51:03,0,25600000,0.001,366.86,147.03453063964844
2013-11-01,46478774785,2013-10-29 16:51:03,0,25600000,0.001,365.57,147.38580322265625
2013-11-04,46294132440,2013-10-29 16:51:03,0,25600000,0.0009,365.92,147.9043426513672
2013-11-05,46707985817,2013-10-29 16:51:03,0,25600000,0.001,364.73,147.43597412109375
2013-11-06,47777634333,2013-10-29 16:51:03,0,25600000,0.0011,364.9,148.18873596191406
2013-11-07,48102350334,2013-10-29 16:51:03,0,25600000,0.0011,365.63,146.31517028808594
2013-11-08,47904971532,2013-10-29 16:51:03,0,25600000,0.0012,363.14,148.28909301757812
2013-11-12,48579871993,2013-10-29 16:51:03,0,25600000,0.0013,362.82,148.01304626464844
2013-11-13,49286604685,2013-10-29 16:51:03,0,25600000,0.0013,363.49,149.20083618164062
2013-11-14,49063757424,2013-10-29 16:51:03,0,25600000,0.0013,364.48,149.9452362060547
2013-11-15,49674984510,2013-10-29 16:51:03,0,25600000,0.0013,364.54,150.59762573242188
2013-11-18,49993332283,2013-10-29 16:51:03,0,25600000,0.0013,365.62,150.07069396972656
2013-11-19,49961500052,2013-10-29 16:51:03,0,25600000,0.0014000000000000002,364.97,149.74452209472656
2013-11-20,49764126343,2013-10-29 16:51:03,0,25600000,0.0012,363.62,149.2760772705078
2013-11-21,49936031594,2013-10-29 16:51:03,0,25600000,0.0012,364.15,150.48057556152344
2013-11-22,49560378676,2013-10-29 16:51:03,0,25600000,0.0012,364.94,151.2333526611328
2013-11-25,49159262392,2013-10-29 16:51:03,0,25600000,0.0014000000000000002,365.39,151.08279418945312
2013-11-26,49261136226,2013-10-29 16:51:03,0,25600000,0.0013,366.46,151.12460327148438
2013-11-27,49413941884,2013-10-29 16:51:03,0,25600000,0.0013,365.9,151.49264526367188
2013-11-29,49324804507,2013-10-29 16:51:03,0,25600000,0.0013,365.73,151.3922576904297
2013-12-02,48540488633,2013-10-29 16:51:03,0,25600000,0.0013,365.11,150.9991455078125
2013-12-03,49023791124,2013-10-29 16:51:03,0,25600000,0.0013,365.63,150.34677124023438
2013-12-04,48375145730,2013-10-29 16:51:03,0,25600000,0.0014000000000000002,364.37,150.32998657226562
2013-12-05,48197086148,2013-10-29 16:51:03,0,25600000,0.0013,364.1,149.669189453125
2013-12-06,48031743245,2013-10-29 16:51:03,0,25600000,0.0013,364.0,151.3420867919922
2013-12-09,47777370232,2013-10-29 16:51:03,0,25600000,0.0013,364.65,151.72686767578125
2013-12-10,47955434902,2013-10-29 16:51:03,0,25600000,0.0014000000000000002,366.08,151.1831817626953
2013-12-11,47313144986,2013-10-29 16:51:03,0,25600000,0.0013,365.39,149.4852294921875
2013-12-12,47109647593,2013-10-29 16:51:03,0,25600000,0.0014000000000000002,364.95,148.9917755126953
2013-12-13,47020617484,2013-10-29 16:51:03,0,25600000,0.0014000000000000002,365.43,148.97499084472656
2013-12-16,47453050079,2013-10-29 16:51:03,0,25600000,0.0013,365.45,149.9033966064453
2013-12-17,47058771974,2013-10-29 16:51:03,0,25600000,0.0014000000000000002,366.31,149.4266815185547
2013-12-18,48088979430,2013-10-29 16:51:03,0,25600000,0.0013,365.78,151.97775268554688
2013-12-19,50562743969,2013-10-29 16:51:03,0,25600000,0.0013,365.72,151.80209350585938
2013-12-20,51224111130,2013-12-19 16:22:52,0,25943000,0.0013,366.86,152.6851043701172
2013-12-23,51860040481,2013-12-19 16:22:52,0,25943000,0.0014000000000000002,366.58,153.5008544921875
2013-12-24,51707414257,2013-12-19 16:22:52,0,25943000,0.0014000000000000002,365.46,153.83726501464844
2013-12-26,52241597456,2013-12-19 16:22:52,0,25943000,0.0013,365.36,154.61935424804688
2013-12-27,52470532022,2013-12-19 16:22:52,0,25943000,0.0012,365.22,154.61090087890625
2013-12-30,52184361271,2013-12-19 16:22:52,0,25943000,0.0013,366.19,154.58572387695312
2013-12-31,52286111875,2013-12-19 16:22:52,0,25943000,0.0013,365.67,155.3173370361328
2014-01-02,51592946338,2013-12-19 16:22:52,0,25943000,0.0013,366.65,153.82882690429688
2014-01-03,51764650443,2013-12-19 16:22:52,0,25943000,0.0013,366.14,153.8036346435547
2014-01-06,51217750565,2013-12-19 16:22:52,0,25943000,0.0012,367.08,153.35792541503906
2014-01-07,51840958785,2013-12-19 16:22:52,0,25943000,0.0013,367.59,154.29971313476562
2014-01-08,52241597456,2013-12-19 16:22:52,0,25943000,0.0013,366.57,154.33338928222656
2014-01-09,52750337757,2013-12-19 16:22:52,0,25943000,0.0013,367.2,154.43431091308594
2014-01-10,52909320095,2013-12-19 16:22:52,0,25943000,0.0012,369.21,154.85475158691406
2014-01-13,51548431920,2013-12-19 16:22:52,0,25943000,0.0011,369.97,152.79449462890625
2014-01-14,52114408406,2013-12-19 16:22:52,0,25943000,0.0011,369.07,154.45956420898438
2014-01-15,53557970577,2013-12-19 16:22:52,0,25943000,0.0013,368.89,155.2921142578125
2014-01-16,53494378913,2013-12-19 16:22:52,0,25943000,0.0011,369.58,155.09027099609375
2014-01-17,53691515104,2013-12-19 16:22:52,0,25943000,0.0011,369.89,154.43431091308594
2014-01-21,54009479780,2013-12-19 16:22:52,0,25943000,0.0012,370.19,154.88845825195312
2014-01-22,54308367847,2013-12-19 16:22:52,0,25943000,0.0011,369.44,154.98931884765625
2014-01-23,53367189864,2013-12-19 16:22:52,0,25943000,0.0011,370.97,153.7195587158203
2014-01-24,51624744714,2013-12-19 16:22:52,0,25943000,0.0011,371.21,150.43971252441406
2014-01-27,51605668105,2013-12-19 16:22:52,0,25943000,0.0011,370.54,149.69967651367188
2014-01-28,51701058144,2013-12-19 16:22:52,0,25943000,0.0011,370.87,150.5911102294922
2014-01-29,51077845472,2013-12-19 16:22:52,0,25943000,0.0011,372.01,149.14463806152344
2014-01-30,51332217848,2013-12-19 16:22:52,0,25943000,0.001,371.7,150.72564697265625
2014-01-31,50798034650,2013-12-19 16:22:52,0,25943000,0.001,371.96,149.84271240234375
2014-02-03,49659720475,2013-12-19 16:22:52,0,25943000,0.0011,373.56,146.47042846679688
2014-02-04,49653364997,2013-12-19 16:22:52,0,25943000,0.0012,372.84,147.496337890625
2014-02-05,49329039757,2013-12-19 16:22:52,0,25943000,0.0012,371.88,147.3113250732422
2014-02-06,49933170732,2013-12-19 16:22:52,0,25943000,0.0013,371.51,149.2539825439453
2014-02-07,51243188375,2013-12-19 16:22:52,0,25943000,0.0012,372.24,151.1041259765625
2014-02-10,50855270835,2013-12-19 16:22:52,0,25943000,0.0012,372.5,151.38162231445312
2014-02-11,51224111130,2013-12-19 16:22:52,0,25943000,0.0012,372.11,153.038330078125
2014-02-12,51643821958,2013-12-19 16:22:52,0,25943000,0.0012,371.45,153.11404418945312
2014-02-13,51980863878,2013-12-19 16:22:52,0,25943000,0.0012,372.74,153.9044952392578
2014-02-14,52216159646,2013-12-19 16:22:52,0,25943000,0.0011,372.76,154.75387573242188
2014-02-18,52521402555,2013-12-19 16:22:52,0,25943000,0.0012,373.69,154.9389190673828
2014-02-19,52947479036,2013-12-19 16:22:52,0,25943000,0.0011,373.17,153.9129180908203
2014-02-20,53023787378,2013-12-19 16:22:52,0,25943000,0.0012,372.83,154.8211669921875
2014-02-21,53290881521,2013-12-19 16:22:52,0,25943000,0.0012,373.38,154.64456176757812
2014-02-24,53386267108,2013-12-19 16:22:52,0,25943000,0.0011,373.32,155.50228881835938
2014-02-25,53042869710,2013-12-19 16:22:52,0,25943000,0.0011,374.58,155.44345092773438
2014-02-26,53036509145,2013-12-19 16:22:52,0,25943000,0.0011,375.22,155.45188903808594
2014-02-27,53011071335,2013-12-19 16:22:52,0,25943000,0.0011,375.99,156.2676239013672
2014-02-28,52771252290,2013-12-19 16:22:52,0,25943000,0.0012,376.08,156.66287231445312
2014-03-03,52233094402,2013-12-19 16:22:52,0,25943000,0.0012,376.94,155.5612030029297
2014-03-04,53170126359,2013-12-19 16:22:52,0,25943000,0.0012,375.41,157.7476806640625
2014-03-05,53252431786,2013-12-19 16:22:52,0,25943000,0.0013,375.29,157.89068603515625
2014-03-06,53056163243,2013-12-19 16:22:52,0,25943000,0.0012,374.4,158.2522735595703
2014-03-07,53138468038,2013-12-19 16:22:52,0,25943000,0.0013,373.31,158.31956481933594
2014-03-10,53208112797,2013-12-19 16:22:52,0,25943000,0.0012,373.34,158.23544311523438
2014-03-11,52897881139,2013-12-19 16:22:52,0,25943000,0.0013,373.69,157.45335388183594
2014-03-12,52391376506,2013-12-19 16:22:52,0,25943000,0.0012,374.3,157.4954376220703
2014-03-13,51973509219,2013-12-19 16:22:52,0,25943000,0.0012,375.67,155.72940063476562
2014-03-14,51523988676,2013-12-19 16:22:52,0,25943000,0.0012,375.65,155.2921142578125
2014-03-17,52796578060,2013-12-19 16:22:52,0,25943000,0.0013,374.81,156.696533203125
2014-03-18,53049830693,2013-12-19 16:22:52,0,25943000,0.0013,375.16,157.8149871826172
2014-03-19,52315399197,2013-12-19 16:22:52,0,25943000,0.0015,373.64,156.97406005859375
2014-03-20,52587645049,2013-12-19 16:22:52,0,25943000,0.0014000000000000002,373.84,157.89068603515625
2014-03-21,52442028046,2013-12-19 16:22:52,0,25943000,0.0014000000000000002,374.69,157.27828979492188
2014-03-24,51916530194,2013-12-19 16:22:52,0,25943000,0.0014000000000000002,375.3,156.62782287597656
2014-03-25,52878883488,2013-12-19 16:22:52,0,25943000,0.0013,375.5,157.3711700439453
2014-03-26,52530665391,2013-12-19 16:22:52,0,25943000,0.0012,376.32,156.23936462402344
2014-03-27,49890521158,2013-12-19 16:22:52,0,25943000,0.0012,376.97,155.90992736816406
2014-03-28,49896849277,2014-03-27 07:07:06,167000,26322000,0.0013,376.3,156.67855834960938
2014-03-31,50472998036,2014-03-27 07:07:06,167000,26322000,0.0013,376.3,157.96246337890625
2014-04-01,50359034921,2014-03-27 07:07:06,167000,26322000,0.0013,375.8,159.0098419189453
2014-04-02,50643940809,2014-03-27 07:07:06,167000,26322000,0.0012,374.94,159.5419921875
2014-04-03,50238738622,2014-03-27 07:07:06,167000,26322000,0.0011,375.54,159.330810546875
2014-04-04,49472653871,2014-03-27 07:07:06,167000,26322000,0.0011,376.89,157.44717407226562
2014-04-07,49941167633,2014-03-27 07:07:06,167000,26322000,0.0011,377.72,155.70718383789062
2014-04-08,49567624400,2014-03-27 07:07:06,167000,26322000,0.0011,378.07,156.3491973876953
2014-04-09,49687920065,2014-03-27 07:07:06,167000,26322000,0.001,378.06,158.0299835205078
2014-04-10,48643257544,2014-03-27 07:07:06,167000,26322000,0.0009,379.46,154.71046447753906
2014-04-11,48807867134,2014-03-27 07:07:06,167000,26322000,0.0009,379.74,153.3167724609375
2014-04-14,49270053410,2014-03-27 07:07:06,167000,26322000,0.001,379.54,154.52464294433594
2014-04-15,49966493403,2014-03-27 07:07:06,167000,26322000,0.0011,379.79,155.5889129638672
2014-04-16,50086789701,2014-03-27 07:07:06,167000,26322000,0.0011,379.8,157.21913146972656
2014-04-17,49953833367,2014-03-27 07:07:06,167000,26322000,0.0011,378.38,157.43878173828125
2014-04-21,50466665485,2014-03-27 07:07:06,167000,26322000,0.0011,378.46,157.98777770996094
2014-04-22,50422346496,2014-03-27 07:07:06,167000,26322000,0.0011,378.67,158.70574951171875
2014-04-23,50086789701,2014-03-27 07:07:06,167000,26322000,0.0011,379.54,158.3341522216797
2014-04-24,49611943389,2014-03-27 07:07:06,167000,26322000,0.001,379.63,158.65512084960938
2014-04-25,49656261745,2014-03-27 07:07:06,167000,26322000,0.0011,380.09,157.3543243408203
2014-04-28,50061463932,2014-03-27 07:07:06,167000,26322000,0.001,379.85,157.8527069091797
2014-04-29,50447672266,2014-03-27 07:07:06,167000,26322000,0.0011,379.47,158.5875244140625
2014-04-30,50789562244,2014-03-27 07:07:06,167000,26322000,0.0011,380.39,159.06051635742188
2014-05-01,50548970280,2014-03-27 07:07:06,167000,26322000,0.001,381.54,159.0774383544922
2014-05-02,50245071806,2014-03-27 07:07:06,167000,26322000,0.001,381.99,158.84939575195312
2014-05-05,50017144943,2014-03-27 07:07:06,167000,26322000,0.0011,381.56,159.1534881591797
2014-05-06,49846202169,2014-03-27 07:07:06,167000,26322000,0.001,382.07,157.76821899414062
2014-05-07,49516972860,2014-03-27 07:07:06,167000,26322000,0.001,381.96,158.69735717773438
2014-05-08,49909514378,2014-03-27 07:07:06,167000,26322000,0.001,382.17,158.52841186523438
2014-05-09,49852530288,2014-03-27 07:07:06,167000,26322000,0.001,381.54,158.7649383544922
2014-05-12,50137440608,2014-03-27 07:07:06,167000,26322000,0.0009,381.1,160.31065368652344
2014-05-13,50447672266,2014-03-27 07:07:06,167000,26322000,0.001,382.01,160.45423889160156
2014-05-14,49922174414,2014-03-27 07:07:06,167000,26322000,0.001,383.61,159.69407653808594
2014-05-15,49649929194,2014-03-27 07:07:06,167000,26322000,0.0009,384.16,158.29185485839844
2014-05-16,50352702370,2014-03-27 07:07:06,167000,26322000,0.0009,383.91,158.84092712402344
2014-05-19,50371695590,2014-03-27 07:07:06,167000,26322000,0.0009,383.55,159.42379760742188
2014-05-20,49637269159,2014-03-27 07:07:06,167000,26322000,0.0009,384.01,158.41860961914062
2014-05-21,50251404356,2014-03-27 07:07:06,167000,26322000,0.0009,383.23,159.753173828125
2014-05-22,50302050831,2014-03-27 07:07:06,167000,26322000,0.0009,382.84,160.14170837402344
2014-05-23,50517317025,2014-03-27 07:07:06,167000,26322000,0.001,383.46,160.78370666503906
2014-05-27,50713584935,2014-03-27 07:07:06,167000,26322000,0.0009,384.13,161.77191162109375
2014-05-28,50384360691,2014-03-27 07:07:06,167000,26322000,0.001,385.84,161.65370178222656
2014-05-29,50916186028,2014-03-27 07:07:06,167000,26322000,0.001,385.55,162.4899139404297
2014-05-30,51568307665,2014-03-27 07:07:06,167000,26322000,0.001,385.33,162.75173950195312
2014-06-02,51542752734,2014-03-27 07:07:06,167000,26322000,0.001,383.88,162.93756103515625
2014-06-03,51923286290,2014-03-27 07:07:06,167000,26322000,0.001,382.72,162.8531494140625
2014-06-04,52925344159,2014-03-27 07:07:06,167000,26322000,0.001,382.49,163.18258666992188
2014-06-05,53007795443,2014-03-27 07:07:06,167000,26322000,0.001,382.97,164.24681091308594
2014-06-06,52976082728,2014-03-27 07:07:06,167000,26322000,0.0011,382.89,165.03237915039062
2014-06-09,53439062493,2014-03-27 07:07:06,167000,26322000,0.0011,382.77,165.20132446289062
2014-06-10,53045846515,2014-03-27 07:07:06,167000,26322000,0.0011,382.44,165.21820068359375
2014-06-11,52601897043,2014-03-27 07:07:06,167000,26322000,0.0011,382.44,164.64385986328125
2014-06-12,52272102056,2014-03-27 07:07:06,167000,26322000,0.001,383.71,163.47816467285156
2014-06-13,52468712265,2014-03-27 07:07:06,167000,26322000,0.0011,383.41,163.97653198242188
2014-06-16,52525789824,2014-03-27 07:07:06,167000,26322000,0.0011,383.75,164.11166381835938
2014-06-17,52329184055,2014-03-27 07:07:06,167000,26322000,0.0011,382.67,164.56784057617188
2014-06-18,52443342980,2014-03-27 07:07:06,167000,26322000,0.001,383.4,165.77572631835938
2014-06-19,52678000456,2014-03-27 07:07:06,167000,26322000,0.0009,383.2,165.96151733398438
