date,marketCap,balanceSheetDate,shortTermDebt,longTermDebt,treasury_yield,bonds_index,equities_index
2013-05-31,21631617560,2013-03-28 16:09:09,22406000,1509003000,0.0014000000000000002,368.08,135.33380126953125
2013-06-03,21908881360,2013-03-28 16:09:09,22406000,1509003000,0.0014000000000000002,368.35,136.0789794921875
2013-06-04,22377709240,2013-03-28 16:09:09,22406000,1509003000,0.0014000000000000002,367.69,135.4248809814453
2013-06-05,22100445440,2013-03-28 16:09:09,22406000,1509003000,0.0014000000000000002,367.42,133.52879333496094
2013-06-06,21964334120,2013-03-28 16:09:09,22406000,1509003000,0.0014000000000000002,367.75,134.7376251220703
2013-06-07,22241597920,2013-03-28 16:09:09,22406000,1509003000,0.0014000000000000002,366.18,136.4515838623047
2013-06-10,22226474440,2013-03-28 16:09:09,22406000,1509003000,0.0014000000000000002,365.29,136.4515838623047
2013-06-11,21737481920,2013-03-28 16:09:09,22406000,1509003000,0.0014000000000000002,365.22,135.04403686523438
2013-06-12,21535835520,2013-03-28 16:09:09,22406000,1509003000,0.0014000000000000002,364.33,133.92625427246094
2013-06-13,21828222800,2013-03-28 16:09:09,22406000,1509003000,0.0014000000000000002,365.17,135.96310424804688
2013-06-14,21596329440,2013-03-28 16:09:09,22406000,1509003000,0.0013,366.41,135.1102752685547
2013-06-17,21873593240,2013-03-28 16:09:09,22406000,1509003000,0.0013,365.65,136.1535186767578
2013-06-18,21858469760,2013-03-28 16:09:09,22406000,1509003000,0.0013,365.48,137.2299041748047
2013-06-19,23078430480,2013-03-28 16:09:09,22406000,1509003000,0.0013,362.93,135.33380126953125
2013-06-20,22632287820,2013-03-28 16:09:09,22406000,1509003000,0.0014000000000000002,359.42,131.98045349121094
2013-06-21,22569273320,2013-03-28 16:09:09,22406000,1509003000,0.0013,357.93,132.40414428710938
2013-06-24,21979457600,2013-03-28 16:09:09,22406000,1509003000,0.0016,356.42,130.73110961914062
2013-06-25,22367626920,2013-03-28 16:09:09,22406000,1509003000,0.0017000000000000001,355.4,131.98794555664062
2013-06-26,23028018880,2013-03-28 16:09:09,22406000,1509003000,0.0016,356.61,133.29473876953125
2013-06-27,23154047880,2013-03-28 16:09:09,22406000,1509003000,0.0015,357.87,134.07716369628906
2013-06-28,22967524960,2013-06-27 17:56:26,20083000,1505560000,0.0015,358.8,133.52784729003906
2013-07-01,23307803260,2013-06-27 17:56:26,20083000,1505560000,0.0015,359.17,134.3102569580078
2013-07-02,23204459480,2013-06-27 17:56:26,20083000,1505560000,0.0014000000000000002,359.84,134.18544006347656
2013-07-03,23401064720,2013-06-27 17:56:26,20083000,1505560000,0.0014000000000000002,359.34,134.2436981201172
2013-07-05,23693452000,2013-06-27 17:56:26,20083000,1505560000,0.0015,355.57,135.69200134277344
2013-07-08,23504408500,2013-06-27 17:56:26,20083000,1505560000,0.0014000000000000002,357.22,136.46607971191406
2013-07-09,23824522160,2013-06-27 17:56:26,20083000,1505560000,0.0014000000000000002,357.89,137.4483184814453
2013-07-10,23819481000,2013-06-27 17:56:26,20083000,1505560000,0.0013,357.37,137.49822998046875
2013-07-11,24192526840,2013-06-27 17:56:26,20083000,1505560000,0.0013,359.69,139.37103271484375
2013-07-12,24394173240,2013-06-27 17:56:26,20083000,1505560000,0.0012,359.35,139.4292755126953
2013-07-15,24258061920,2013-06-27 17:56:26,20083000,1505560000,0.0011,360.45,139.96200561523438
2013-07-16,23937948260,2013-06-27 17:56:26,20083000,1505560000,0.001,361.21,139.43763732910156
2013-07-17,24217732640,2013-06-27 17:56:26,20083000,1505560000,0.0011,362.09,139.79554748535156
2013-07-18,24293350040,2013-06-27 17:56:26,20083000,1505560000,0.0011,361.6,140.56129455566406
2013-07-19,24232856120,2013-06-27 17:56:26,20083000,1505560000,0.0011,362.82,140.81103515625
2013-07-22,24338720480,2013-06-27 17:56:26,20083000,1505560000,0.001,363.42,141.08566284179688
2013-07-23,24232856120,2013-06-27 17:56:26,20083000,1505560000,0.0012,363.05,140.7860565185547
2013-07-24,24096744800,2013-06-27 17:56:26,20083000,1505560000,0.0012,361.72,140.2699737548828
2013-07-25,24091703640,2013-06-27 17:56:26,20083000,1505560000,0.0012,361.3,140.6112518310547
2013-07-26,24016086240,2013-06-27 17:56:26,20083000,1505560000,0.0011,362.31,140.76104736328125
2013-07-29,23779151720,2013-06-27 17:56:26,20083000,1505560000,0.0011,361.82,140.3282928466797
2013-07-30,23874933760,2013-06-27 17:56:26,20083000,1505560000,0.0011,361.56,140.3282928466797
2013-07-31,23834604480,2013-06-27 17:56:26,20083000,1505560000,0.0011,361.79,140.42813110351562
2013-08-01,24046333200,2013-06-27 17:56:26,20083000,1505560000,0.0013,359.46,142.05123901367188
2013-08-02,23920304200,2013-06-27 17:56:26,20083000,1505560000,0.0011,361.54,142.29261779785156
2013-08-05,24011045080,2013-06-27 17:56:26,20083000,1505560000,0.0012,360.83,142.08456420898438
2013-08-06,23890057240,2013-06-27 17:56:26,20083000,1505560000,0.0012,360.81,141.2771759033203
2013-08-07,23743863600,2013-06-27 17:56:26,20083000,1505560000,0.0012,361.46,140.81936645507812
2013-08-08,23950551160,2013-06-27 17:56:26,20083000,1505560000,0.0012,361.82,141.3353729248047
2013-08-09,23784192880,2013-06-27 17:56:26,20083000,1505560000,0.0011,361.86,140.92759704589844
2013-08-12,23794275200,2013-06-27 17:56:26,20083000,1505560000,0.0012,361.3,140.76104736328125
2013-08-13,23764028240,2013-06-27 17:56:26,20083000,1505560000,0.0012,359.27,141.17724609375
2013-08-14,23612793440,2013-06-27 17:56:26,20083000,1505560000,0.0012,359.25,140.45310974121094
2013-08-15,23123800920,2013-06-27 17:56:26,20083000,1505560000,0.0013,358.11,138.48873901367188
2013-08-16,22886866400,2013-06-27 17:56:26,20083000,1505560000,0.0013,356.89,138.0309600830078
2013-08-19,22629767240,2013-06-27 17:56:26,20083000,1505560000,0.0013,355.82,137.1486358642578
2013-08-20,22720508120,2013-06-27 17:56:26,20083000,1505560000,0.0013,356.83,137.8228759765625
2013-08-21,22755796240,2013-06-27 17:56:26,20083000,1505560000,0.0014000000000000002,355.98,136.973876953125
2013-08-22,23028018880,2013-06-27 17:56:26,20083000,1505560000,0.0014000000000000002,355.45,138.22244262695312
2013-08-23,23073389320,2013-06-27 17:56:26,20083000,1505560000,0.0014000000000000002,357.1,138.6884765625
2013-08-26,23219582960,2013-06-27 17:56:26,20083000,1505560000,0.0013,357.69,138.17247009277344
2013-08-27,22937278000,2013-06-27 17:56:26,20083000,1505560000,0.0012,359.29,135.9500274658203
2013-08-28,22952401480,2013-06-27 17:56:26,20083000,1505560000,0.0014000000000000002,358.2,136.43275451660156
2013-08-29,23154047880,2013-06-27 17:56:26,20083000,1505560000,0.0014000000000000002,359.08,136.6492156982422
2013-08-30,22937769000,2013-06-27 17:56:26,20083000,1505560000,0.0013,359.5,136.2163848876953
2013-09-03,23002947360,2013-06-27 17:56:26,20083000,1505560000,0.0014000000000000002,357.83,136.83233642578125
