date,marketCap,shortTermDebt,longTermDebt,treasury_yield,bnd_price,mkt_price
2013-05-31,75393828000,917000000,8254000000,0.0014000000000000002,368.08,135.33377075195312
2013-06-03,76703436000,917000000,8254000000,0.0014000000000000002,368.35,136.07899475097656
2013-06-04,75843054000,917000000,8254000000,0.0014000000000000002,367.69,135.4248504638672
2013-06-05,74990286000,917000000,8254000000,0.0014000000000000002,367.42,133.52882385253906
2013-06-06,75957264000,917000000,8254000000,0.0014000000000000002,367.75,134.73765563964844
2013-06-07,78035886000,917000000,8254000000,0.0014000000000000002,366.18,136.45159912109375
2013-06-10,77845536000,917000000,8254000000,0.0014000000000000002,365.29,136.45159912109375
2013-06-11,77472450000,917000000,8254000000,0.0014000000000000002,365.22,135.04400634765625
2013-06-12,76810032000,917000000,8254000000,0.0014000000000000002,364.33,133.92626953125
2013-06-13,77784624000,917000000,8254000000,0.0014000000000000002,365.17,135.9630584716797
2013-06-14,77533362000,917000000,8254000000,0.0013,366.41,135.11024475097656
2013-06-17,78447042000,917000000,8254000000,0.0013,365.65,136.15353393554688
2013-06-18,79246512000,917000000,8254000000,0.0013,365.48,137.2299041748047
2013-06-19,77853150000,917000000,8254000000,0.0013,362.93,135.33377075195312
2013-06-20,75865896000,917000000,8254000000,0.0014000000000000002,359.42,131.98046875
2013-06-21,76124772000,917000000,8254000000,0.0013,357.93,132.40414428710938
2013-06-24,74502990000,917000000,8254000000,0.0016,356.42,130.73104858398438
2013-06-25,75127338000,917000000,8254000000,0.0017000000000000001,355.4,131.98797607421875
2013-06-26,76711050000,917000000,8254000000,0.0016,356.61,133.29476928710938
2013-06-27,78538410000,917000000,8254000000,0.0015,357.87,134.07723999023438
2013-06-28,77997816000,917000000,8254000000,0.0015,358.8,133.52786254882812
2013-07-01,78214624000,917000000,8254000000,0.0015,359.17,134.310302734375
2013-07-02,76873672000,917000000,8254000000,0.0014000000000000002,359.84,134.18544006347656
2013-07-03,77949464000,917000000,8254000000,0.0014000000000000002,359.34,134.24366760253906
2013-07-05,78941920000,917000000,8254000000,0.0015,355.57,135.6919708251953
2013-07-08,79070712000,917000000,8254000000,0.0014000000000000002,357.22,136.46609497070312
2013-07-09,79305568000,917000000,8254000000,0.0014000000000000002,357.89,137.44827270507812
2013-07-10,79926800000,917000000,8254000000,0.0013,357.37,137.4982452392578
2013-07-11,80972288000,917000000,8254000000,0.0013,359.69,139.3710479736328
2013-07-12,77176712000,917000000,8254000000,0.0012,359.35,139.4293212890625
2013-07-15,80048016000,917000000,8254000000,0.0011,360.45,139.96200561523438
2013-07-16,78964648000,917000000,8254000000,0.001,361.21,139.4376678466797
2013-07-17,79388904000,917000000,8254000000,0.0011,362.09,139.7955780029297
2013-07-18,81540488000,917000000,8254000000,0.0011,361.6,140.5613555908203
2013-07-19,81032896000,917000000,8254000000,0.0011,362.82,140.81101989746094
2013-07-22,80957136000,917000000,8254000000,0.001,363.42,141.0857391357422
2013-07-23,81661704000,917000000,8254000000,0.0012,363.05,140.78607177734375
2013-07-24,81025320000,917000000,8254000000,0.0012,361.72,140.27001953125
2013-07-25,80835920000,883000000,8695000000,0.0012,361.3,140.6112823486328
2013-07-26,80002560000,883000000,8695000000,0.0011,362.31,140.76113891601562
2013-07-29,79404056000,883000000,8695000000,0.0011,361.82,140.32823181152344
2013-07-30,80101048000,883000000,8695000000,0.0011,361.56,140.32823181152344
2013-07-31,79623760000,883000000,8695000000,0.0011,361.79,140.42811584472656
2013-08-01,80835920000,883000000,8695000000,0.0013,359.46,142.05126953125
2013-08-02,81745040000,883000000,8695000000,0.0011,361.54,142.29266357421875
2013-08-05,81442000000,883000000,8695000000,0.0012,360.83,142.08453369140625
2013-08-06,81093504000,883000000,8695000000,0.0012,360.81,141.27713012695312
2013-08-07,80623792000,883000000,8695000000,0.0012,361.46,140.81932067871094
2013-08-08,80184384000,883000000,8695000000,0.0012,361.82,141.33543395996094
2013-08-09,79798008000,883000000,8695000000,0.0011,361.86,140.92758178710938
