date,marketCap,balanceSheetDate,shortTermDebt,longTermDebt,treasury_yield,bonds_index,equities_index
2013-05-31,47881558512,2013-03-20 15:22:38,64000000,4806000000,0.0014000000000000002,368.08,135.33380126953125
2013-06-03,48427061760,2013-03-20 15:22:38,64000000,4806000000,0.0014000000000000002,368.35,136.0789794921875
2013-06-04,48330976320,2013-03-20 15:22:38,64000000,4806000000,0.0014000000000000002,367.69,135.4248809814453
2013-06-05,47680215840,2013-03-20 15:22:38,64000000,4806000000,0.0014000000000000002,367.42,133.52879333496094
2013-06-06,48518779680,2013-03-20 15:22:38,64000000,4806000000,0.0014000000000000002,367.75,134.7376251220703
2013-06-07,48296036160,2013-03-20 15:22:38,64000000,4806000000,0.0014000000000000002,366.18,136.4515838623047
2013-06-10,48178113120,2013-03-20 15:22:38,64000000,4806000000,0.0014000000000000002,365.29,136.4515838623047
2013-06-11,48051455040,2013-03-20 15:22:38,64000000,4806000000,0.0014000000000000002,365.22,135.04403686523438
2013-06-12,47780668800,2013-06-11 17:22:05,0,4887000000,0.0014000000000000002,364.33,133.92625427246094
2013-06-13,48427061760,2013-06-11 17:22:05,0,4887000000,0.0014000000000000002,365.17,135.96310424804688
2013-06-14,48479472000,2013-06-11 17:22:05,0,4887000000,0.0013,366.41,135.1102752685547
2013-06-17,48785198400,2013-06-11 17:22:05,0,4887000000,0.0013,365.65,136.1535186767578
2013-06-18,48953347920,2013-06-11 17:22:05,0,4887000000,0.0013,365.48,137.2299041748047
2013-06-19,48125702880,2013-06-11 17:22:05,0,4887000000,0.0013,362.93,135.33380126953125
2013-06-20,46977045120,2013-06-11 17:22:05,0,4887000000,0.0014000000000000002,359.42,131.98045349121094
2013-06-21,47453104800,2013-06-11 17:22:05,0,4887000000,0.0013,357.93,132.40414428710938
2013-06-24,47885489280,2013-06-11 17:22:05,0,4887000000,0.0016,356.42,130.73110961914062
2013-06-25,48151908000,2013-06-11 17:22:05,0,4887000000,0.0017000000000000001,355.4,131.98794555664062
2013-06-26,48558087360,2013-06-11 17:22:05,0,4887000000,0.0016,356.61,133.29473876953125
2013-06-27,48693480480,2013-06-11 17:22:05,0,4887000000,0.0015,357.87,134.07716369628906
2013-06-28,48291668640,2013-06-11 17:22:05,0,4887000000,0.0015,358.8,133.52784729003906
2013-07-01,48230523360,2013-06-11 17:22:05,0,4887000000,0.0015,359.17,134.3102569580078
