DATE,DGS1
1993-01-04,3.560
1993-01-05,3.580
1993-01-06,3.620
1993-01-07,3.700
1993-01-08,3.560
1993-01-11,3.540
1993-01-12,3.540
1993-01-13,3.510
1993-01-14,3.480
1993-01-15,3.420
1993-01-18,.
1993-01-19,3.480
1993-01-20,3.510
1993-01-21,3.480
1993-01-22,3.410
1993-01-25,3.410
1993-01-26,3.450
1993-01-27,3.410
1993-01-28,3.380
1993-01-29,3.390
1993-02-01,3.400
1993-02-02,3.430
1993-02-03,3.440
1993-02-04,3.440
1993-02-05,3.360
1993-02-08,3.430
1993-02-09,3.470
1993-02-10,3.500
1993-02-11,3.440
1993-02-12,3.430
1993-02-15,.
1993-02-16,3.440
1993-02-17,3.390
1993-02-18,3.300
1993-02-19,3.300
1993-02-22,3.320
1993-02-23,3.270
1993-02-24,3.320
1993-02-25,3.330
1993-02-26,3.320
1993-03-01,3.300
1993-03-02,3.310
1993-03-03,3.280
1993-03-04,3.240
1993-03-05,3.370
1993-03-08,3.390
1993-03-09,3.410
1993-03-10,3.400
1993-03-11,3.350
1993-03-12,3.390
1993-03-15,3.420
1993-03-16,3.380
1993-03-17,3.360
1993-03-18,3.300
1993-03-19,3.320
1993-03-22,3.290
1993-03-23,3.280
1993-03-24,3.310
1993-03-25,3.290
1993-03-26,3.330
1993-03-29,3.330
1993-03-30,3.290
1993-03-31,3.320
1993-04-01,3.320
1993-04-02,3.320
1993-04-05,3.300
1993-04-06,3.350
1993-04-07,3.330
1993-04-08,3.250
1993-04-09,.
1993-04-12,3.230
1993-04-13,3.220
1993-04-14,3.190
1993-04-15,3.220
1993-04-16,3.210
1993-04-19,3.210
1993-04-20,3.190
1993-04-21,3.170
1993-04-22,3.170
1993-04-23,3.180
1993-04-26,3.230
1993-04-27,3.270
1993-04-28,3.270
1993-04-29,3.240
1993-04-30,3.260
1993-05-03,3.220
1993-05-04,3.230
1993-05-05,3.260
1993-05-06,3.220
1993-05-07,3.230
1993-05-10,3.220
1993-05-11,3.230
1993-05-12,3.260
1993-05-13,3.300
1993-05-14,3.330
1993-05-17,3.410
1993-05-18,3.400
1993-05-19,3.370
1993-05-20,3.390
